Station,Date(NZST),Amount(Hrs),Period(Hrs),Freq
"Auckland, North Shore Albany Ews",27/07/2014 23,3.4,24,D
"Auckland, North Shore Albany Ews",28/07/2014 23,8.4,24,D
"Auckland, North Shore Albany Ews",29/07/2014 23,6.2,24,D
"Auckland, North Shore Albany Ews",30/07/2014 23,5.5,24,D
"Auckland, North Shore Albany Ews",31/07/2014 23,6.5,24,D
"Auckland, North Shore Albany Ews",01/08/2014 23,3.7,24,D
"Auckland, North Shore Albany Ews",02/08/2014 23,3.7,24,D
"Auckland, North Shore Albany Ews",03/08/2014 23,0.9,24,D
"Auckland, North Shore Albany Ews",04/08/2014 23,4.5,24,D
"Auckland, North Shore Albany Ews",05/08/2014 23,5.4,24,D
"Auckland, North Shore Albany Ews",06/08/2014 23,3.8,24,D
"Auckland, North Shore Albany Ews",07/08/2014 23,2.7,24,D
"Auckland, North Shore Albany Ews",08/08/2014 23,4.6,24,D
"Auckland, North Shore Albany Ews",09/08/2014 23,8.6,24,D
"Auckland, North Shore Albany Ews",10/08/2014 23,5.7,24,D
"Auckland, North Shore Albany Ews",11/08/2014 23,8.5,24,D
"Auckland, North Shore Albany Ews",12/08/2014 23,4.9,24,D
"Auckland, North Shore Albany Ews",13/08/2014 23,6.4,24,D
"Auckland, North Shore Albany Ews",14/08/2014 23,6.2,24,D
"Auckland, North Shore Albany Ews",15/08/2014 23,8.1,24,D
"Auckland, North Shore Albany Ews",16/08/2014 23,1,24,D
"Auckland, North Shore Albany Ews",17/08/2014 23,0.4,24,D
"Auckland, North Shore Albany Ews",18/08/2014 23,2.2,24,D
"Auckland, North Shore Albany Ews",19/08/2014 23,0,24,D
"Auckland, North Shore Albany Ews",20/08/2014 23,0.7,24,D
"Auckland, North Shore Albany Ews",21/08/2014 23,9.2,24,D
"Auckland, North Shore Albany Ews",22/08/2014 23,9.4,24,D
"Auckland, North Shore Albany Ews",23/08/2014 23,9.3,24,D
"Auckland, North Shore Albany Ews",24/08/2014 23,9.5,24,D
"Auckland, North Shore Albany Ews",25/08/2014 23,7.3,24,D
"Auckland, North Shore Albany Ews",26/08/2014 23,8.6,24,D
"Auckland, North Shore Albany Ews",27/08/2014 23,2.6,24,D
"Auckland, North Shore Albany Ews",28/08/2014 23,2.1,24,D
"Auckland, North Shore Albany Ews",29/08/2014 23,5.9,24,D
"Auckland, North Shore Albany Ews",30/08/2014 23,0,24,D
"Auckland, North Shore Albany Ews",31/08/2014 23,0,24,D
"Auckland, North Shore Albany Ews",01/09/2014 23,0,24,D
"Auckland, North Shore Albany Ews",02/09/2014 23,8.5,24,D
"Auckland, North Shore Albany Ews",03/09/2014 23,1.7,24,D
"Auckland, North Shore Albany Ews",04/09/2014 23,3.9,24,D
"Auckland, North Shore Albany Ews",05/09/2014 23,4.4,24,D
"Auckland, North Shore Albany Ews",06/09/2014 23,2.6,24,D
"Auckland, North Shore Albany Ews",07/09/2014 23,9.8,24,D
"Auckland, North Shore Albany Ews",08/09/2014 23,1.7,24,D
"Auckland, North Shore Albany Ews",09/09/2014 23,8.5,24,D
"Auckland, North Shore Albany Ews",10/09/2014 23,8,24,D
"Auckland, North Shore Albany Ews",11/09/2014 23,7.6,24,D
"Auckland, North Shore Albany Ews",12/09/2014 23,0.3,24,D
"Auckland, North Shore Albany Ews",13/09/2014 23,3.2,24,D
"Auckland, North Shore Albany Ews",14/09/2014 23,4.8,24,D
"Auckland, North Shore Albany Ews",15/09/2014 23,6.8,24,D
"Auckland, North Shore Albany Ews",16/09/2014 23,2.6,24,D
"Auckland, North Shore Albany Ews",17/09/2014 23,6.9,24,D
"Auckland, North Shore Albany Ews",18/09/2014 23,0.7,24,D
"Auckland, North Shore Albany Ews",19/09/2014 23,6.3,24,D
"Auckland, North Shore Albany Ews",20/09/2014 23,7.6,24,D
"Auckland, North Shore Albany Ews",21/09/2014 23,5.6,24,D
"Auckland, North Shore Albany Ews",22/09/2014 23,5.3,24,D
"Auckland, North Shore Albany Ews",23/09/2014 23,8.5,24,D
"Auckland, North Shore Albany Ews",24/09/2014 23,9.7,24,D
"Auckland, North Shore Albany Ews",25/09/2014 23,9.9,24,D
"Auckland, North Shore Albany Ews",26/09/2014 23,7.9,24,D
"Auckland, North Shore Albany Ews",27/09/2014 23,3.8,24,D
"Auckland, North Shore Albany Ews",28/09/2014 22,7,24,D
"Auckland, North Shore Albany Ews",29/09/2014 22,6,24,D
"Auckland, North Shore Albany Ews",30/09/2014 22,9.5,24,D
"Auckland, North Shore Albany Ews",01/10/2014 22,11.1,24,D
"Auckland, North Shore Albany Ews",02/10/2014 22,1.9,24,D
"Auckland, North Shore Albany Ews",03/10/2014 22,6.5,24,D
"Auckland, North Shore Albany Ews",04/10/2014 22,8.2,24,D
"Auckland, North Shore Albany Ews",05/10/2014 22,5,24,D
"Auckland, North Shore Albany Ews",06/10/2014 22,5.8,24,D
"Auckland, North Shore Albany Ews",07/10/2014 22,11,24,D
"Auckland, North Shore Albany Ews",08/10/2014 22,6.6,24,D
"Auckland, North Shore Albany Ews",09/10/2014 22,3.8,24,D
"Auckland, North Shore Albany Ews",10/10/2014 22,6.2,24,D
"Auckland, North Shore Albany Ews",11/10/2014 22,10.7,24,D
"Auckland, North Shore Albany Ews",12/10/2014 22,8.7,24,D
"Auckland, North Shore Albany Ews",13/10/2014 22,3.4,24,D
"Auckland, North Shore Albany Ews",14/10/2014 22,7.2,24,D
"Auckland, North Shore Albany Ews",15/10/2014 22,10.1,24,D
"Auckland, North Shore Albany Ews",16/10/2014 22,4.8,24,D
"Auckland, North Shore Albany Ews",17/10/2014 22,4.9,24,D
"Auckland, North Shore Albany Ews",18/10/2014 22,0,24,D
"Auckland, North Shore Albany Ews",19/10/2014 22,8.1,24,D
"Auckland, North Shore Albany Ews",20/10/2014 22,8.9,24,D
"Auckland, North Shore Albany Ews",21/10/2014 22,3.1,24,D
"Auckland, North Shore Albany Ews",22/10/2014 22,7.3,24,D
"Auckland, North Shore Albany Ews",23/10/2014 22,4.4,24,D
"Auckland, North Shore Albany Ews",24/10/2014 22,7.4,24,D
"Auckland, North Shore Albany Ews",25/10/2014 22,12,24,D
"Auckland, North Shore Albany Ews",26/10/2014 22,2.2,24,D
"Auckland, North Shore Albany Ews",27/10/2014 22,1.9,24,D
"Auckland, North Shore Albany Ews",28/10/2014 22,0.3,24,D
"Auckland, North Shore Albany Ews",29/10/2014 22,3,24,D
"Auckland, North Shore Albany Ews",30/10/2014 22,8.2,24,D
"Auckland, North Shore Albany Ews",31/10/2014 22,6.9,24,D
"Auckland, North Shore Albany Ews",01/11/2014 22,10.6,24,D
"Auckland, North Shore Albany Ews",02/11/2014 22,4.3,24,D
"Auckland, North Shore Albany Ews",03/11/2014 22,3.4,24,D
"Auckland, North Shore Albany Ews",04/11/2014 22,6,24,D
"Auckland, North Shore Albany Ews",05/11/2014 22,8,24,D
"Auckland, North Shore Albany Ews",06/11/2014 22,9.1,24,D
"Auckland, North Shore Albany Ews",07/11/2014 22,10.1,24,D
"Auckland, North Shore Albany Ews",08/11/2014 22,11,24,D
"Auckland, North Shore Albany Ews",09/11/2014 22,9.5,24,D
"Auckland, North Shore Albany Ews",10/11/2014 22,7.9,24,D
"Auckland, North Shore Albany Ews",11/11/2014 22,7.1,24,D
"Auckland, North Shore Albany Ews",12/11/2014 22,8.2,24,D
"Auckland, North Shore Albany Ews",13/11/2014 22,8.1,24,D
"Auckland, North Shore Albany Ews",14/11/2014 22,6.1,24,D
"Auckland, North Shore Albany Ews",15/11/2014 22,2,24,D
"Auckland, North Shore Albany Ews",16/11/2014 22,10.3,24,D
"Auckland, North Shore Albany Ews",17/11/2014 22,1.1,24,D
"Auckland, North Shore Albany Ews",18/11/2014 22,9.8,24,D
"Auckland, North Shore Albany Ews",19/11/2014 22,10,24,D
"Auckland, North Shore Albany Ews",20/11/2014 22,10.7,24,D
"Auckland, North Shore Albany Ews",21/11/2014 22,10.2,24,D
"Auckland, North Shore Albany Ews",22/11/2014 22,6.1,24,D
"Auckland, North Shore Albany Ews",23/11/2014 22,11.3,24,D
"Auckland, North Shore Albany Ews",24/11/2014 22,0.6,24,D
"Auckland, North Shore Albany Ews",25/11/2014 22,0.6,24,D
"Auckland, North Shore Albany Ews",26/11/2014 22,4.2,24,D
"Auckland, North Shore Albany Ews",27/11/2014 22,12.2,24,D
"Auckland, North Shore Albany Ews",28/11/2014 22,6.3,24,D
"Auckland, North Shore Albany Ews",29/11/2014 22,10.8,24,D
"Auckland, North Shore Albany Ews",30/11/2014 22,9.8,24,D
"Auckland, North Shore Albany Ews",01/12/2014 22,9.2,24,D
"Auckland, North Shore Albany Ews",02/12/2014 22,13.3,24,D
"Auckland, North Shore Albany Ews",03/12/2014 22,10,24,D
"Auckland, North Shore Albany Ews",04/12/2014 22,7.3,24,D
"Auckland, North Shore Albany Ews",05/12/2014 22,8.9,24,D
"Auckland, North Shore Albany Ews",06/12/2014 22,3.9,24,D
"Auckland, North Shore Albany Ews",07/12/2014 22,12.3,24,D
"Auckland, North Shore Albany Ews",08/12/2014 22,5.9,24,D
"Auckland, North Shore Albany Ews",09/12/2014 22,0.4,24,D
"Auckland, North Shore Albany Ews",10/12/2014 22,5.9,24,D
"Auckland, North Shore Albany Ews",11/12/2014 22,2.6,24,D
"Auckland, North Shore Albany Ews",12/12/2014 22,1.2,24,D
"Auckland, North Shore Albany Ews",13/12/2014 22,0,24,D
"Auckland, North Shore Albany Ews",14/12/2014 22,0.2,24,D
"Auckland, North Shore Albany Ews",15/12/2014 22,0.6,24,D
"Auckland, North Shore Albany Ews",16/12/2014 22,0,24,D
"Auckland, North Shore Albany Ews",17/12/2014 22,0.4,24,D
"Auckland, North Shore Albany Ews",18/12/2014 22,3.1,24,D
"Auckland, North Shore Albany Ews",19/12/2014 22,12.1,24,D
"Auckland, North Shore Albany Ews",20/12/2014 22,0,24,D
"Auckland, North Shore Albany Ews",21/12/2014 22,9.7,24,D
"Auckland, North Shore Albany Ews",22/12/2014 22,11.3,24,D
"Auckland, North Shore Albany Ews",23/12/2014 22,9.9,24,D
"Auckland, North Shore Albany Ews",24/12/2014 22,6.1,24,D
"Auckland, North Shore Albany Ews",25/12/2014 22,10.5,24,D
"Auckland, North Shore Albany Ews",26/12/2014 22,11.8,24,D
"Auckland, North Shore Albany Ews",27/12/2014 22,11.8,24,D
"Auckland, North Shore Albany Ews",28/12/2014 22,12.5,24,D
"Auckland, North Shore Albany Ews",29/12/2014 22,12,24,D
"Auckland, North Shore Albany Ews",30/12/2014 22,11.9,24,D
"Auckland, North Shore Albany Ews",31/12/2014 22,3.4,24,D
"Auckland, North Shore Albany Ews",01/01/2015 22,12.6,24,D
"Auckland, North Shore Albany Ews",02/01/2015 22,12.1,24,D
"Auckland, North Shore Albany Ews",03/01/2015 22,7.7,24,D
"Auckland, North Shore Albany Ews",04/01/2015 22,11.4,24,D
"Auckland, North Shore Albany Ews",05/01/2015 22,9.8,24,D
"Auckland, North Shore Albany Ews",06/01/2015 22,13,24,D
"Auckland, North Shore Albany Ews",07/01/2015 22,9.6,24,D
"Auckland, North Shore Albany Ews",08/01/2015 22,10.1,24,D
"Auckland, North Shore Albany Ews",09/01/2015 22,8.8,24,D
"Auckland, North Shore Albany Ews",10/01/2015 22,10.9,24,D
"Auckland, North Shore Albany Ews",11/01/2015 22,11.9,24,D
"Auckland, North Shore Albany Ews",12/01/2015 22,9.5,24,D
"Auckland, North Shore Albany Ews",13/01/2015 22,13.2,24,D
"Auckland, North Shore Albany Ews",14/01/2015 22,10.5,24,D
"Auckland, North Shore Albany Ews",15/01/2015 22,12.1,24,D
"Auckland, North Shore Albany Ews",16/01/2015 22,10.7,24,D
"Auckland, North Shore Albany Ews",17/01/2015 22,6,24,D
"Auckland, North Shore Albany Ews",18/01/2015 22,13,24,D
"Auckland, North Shore Albany Ews",19/01/2015 22,9.6,24,D
"Auckland, North Shore Albany Ews",20/01/2015 22,11.3,24,D
"Auckland, North Shore Albany Ews",21/01/2015 22,10.9,24,D
"Auckland, North Shore Albany Ews",22/01/2015 22,9.2,24,D
"Auckland, North Shore Albany Ews",23/01/2015 22,12.7,24,D
"Auckland, North Shore Albany Ews",24/01/2015 22,11,24,D
"Auckland, North Shore Albany Ews",25/01/2015 22,11.6,24,D
"Auckland, North Shore Albany Ews",26/01/2015 22,9.8,24,D
"Auckland, North Shore Albany Ews",27/01/2015 22,9.5,24,D
"Auckland, North Shore Albany Ews",28/01/2015 22,11.8,24,D
"Auckland, North Shore Albany Ews",29/01/2015 22,10.8,24,D
"Auckland, North Shore Albany Ews",30/01/2015 22,10.8,24,D
"Auckland, North Shore Albany Ews",31/01/2015 22,0.5,24,D
"Auckland, North Shore Albany Ews",01/02/2015 22,0.2,24,D
"Auckland, North Shore Albany Ews",02/02/2015 22,9.2,24,D
"Auckland, North Shore Albany Ews",03/02/2015 22,10.2,24,D
"Auckland, North Shore Albany Ews",04/02/2015 22,0.4,24,D
